"English","Deutsch"
"hello","hallo"
"goodbye","auf Wiedersehen"
"please","bitte"
"thank you","danke"
"yes","ja"
"no","nein"
"excuse me","Entschuldigung"
"sorry","Es tut mir leid"
"who","wer"
"what","was"
"where","wo"
"when","wann"
"why","warum"
"how","wie"
"be","sein"
"have","haben"
"go","gehen"
"do","tun / machen"
"want","wollen"
"like","mögen"
"see","sehen"
"hear","hören"
"speak","sprechen"
"eat","essen"
"drink","trinken"
"sleep","schlafen"
"work","arbeiten"
"live","leben / wohnen"
"know","wissen / kennen"
"come","kommen"
"today","heute"
"tomorrow","morgen"
"yesterday","gestern"
"time","Zeit"
"day","Tag"
"week","Woche"
"month","Monat"
"year","Jahr"
"Monday","Montag"
"Tuesday","Dienstag"
"Wednesday","Mittwoch"
"Thursday","Donnerstag"
"Friday","Freitag"
"Saturday","Samstag"
"Sunday","Sonntag"
"one","eins"
"two","zwei"
"three","drei"
"four","vier"
"five","fünf"
"six","sechs"
"seven","sieben"
"eight","acht"
"nine","neun"
"ten","zehn"
"friend","Freund"
"family","Familie"
"mother","Mutter"
"father","Vater"
"child","Kind"
"man","Mann"
"woman","Frau"
"people","Menschen / Leute"
"house","Haus"
"school","Schule"
"room","Zimmer"
"city","Stadt"
"street","Straße"
"shop","Geschäft / Laden"
"car","Auto"
"train","Zug"
"food","Essen"
"water","Wasser"
"bread","Brot"
"coffee","Kaffee"
"tea","Tee"
"milk","Milch"
"fruit","Obst / Frucht"
"vegetables","Gemüse"
"good","gut"
"bad","schlecht"
"big","groß"
"small","klein"
"new","neu"
"old","alt"
"happy","glücklich"
"sad","traurig"
"beautiful","schön"
"easy","einfach"
"difficult","schwierig"
"hot","heiß"
"cold","kalt"
"red","rot"
"blue","blau"
"green","grün"
"yellow","gelb"
"black","schwarz"
"white","weiß"
"help","Hilfe"
"money","Geld"
"book","Buch"
"name","Name"
"always","immer"
"never","nie"
"sometimes","manchmal"
"often","oft"
"now","jetzt"
"later","später"
"here","hier"
"there","dort"
"everywhere","überall"
"nothing","nichts"
"everything","alles"
"someone","jemand"
"nobody","niemand"
"to buy","kaufen"
"to sell","verkaufen"
"to pay","bezahlen"
"to think","denken"
"to find","finden"
"to give","geben"
"to take","nehmen"
"to bring","bringen"
"to read","lesen"
"to write","schreiben"
"to understand","verstehen"
"to learn","lernen"
"to travel","reisen"
"to drive","fahren"
"to fly","fliegen"
"to wait","warten"
"to open","öffnen"
"to close","schließen"
"to help","helfen"
"to use","benutzen"
"to call","anrufen / rufen"
"to meet","treffen"
"to ask","fragen"
"to answer","antworten"
"left","links"
"right","rechts"
"straight ahead","geradeaus"
"near","nah"
"far","weit"
"early","früh"
"late","spät"
"fast","schnell"
"slow","langsam"
"heavy","schwer"
"light","leicht"
"expensive","teuer"
"cheap","billig"
"young","jung"
"clean","sauber"
"dirty","schmutzig"
"busy","beschäftigt"
"tired","müde"
"sick","krank"
"healthy","gesund"
"ready","bereit"
"important","wichtig"
"different","unterschiedlich"
"same","gleich"
"free","frei / kostenlos"
"all","alle"
"some","einige"
"many","viele"
"few","wenige"
"more","mehr"
"less","weniger"
"meat","Fleisch"
"fish","Fisch"
"sugar","Zucker"
"salt","Salz"
"apple","Apfel"
"banana","Banane"
"beer","Bier"
"wine","Wein"
"breakfast","Frühstück"
"lunch","Mittagessen"
"dinner","Abendessen"
"restaurant","Restaurant"
"hotel","Hotel"
"airport","Flughafen"
"station","Bahnhof"
"ticket","Fahrkarte / Ticket"
"passport","Reisepass"
"bag","Tasche"
"key","Schlüssel"
"phone","Telefon"
"computer","Computer"
"internet","Internet"
"email","E-Mail"
"doctor","Arzt"
"hospital","Krankenhaus"
"medicine","Medizin"
"weather","Wetter"
"sun","Sonne"
"rain","Regen"
"snow","Schnee"
"wind","Wind"
"sea","Meer"
"river","Fluss"
"animal","Tier"
"dog","Hund"
"cat","Katze"
"bird","Vogel"
"shirt","Hemd / Shirt"
"pants","Hose"
"shoes","Schuhe"
"coat","Mantel"
"window","Fenster"
"door","Tür"
"table","Tisch"
"chair","Stuhl"
"bed","Bett"
"paper","Papier"
"pen","Stift"
"job","Beruf / Arbeit"
"office","Büro"
"boss","Chef"
"colleague","Kollege"
"company","Firma / Unternehmen"
"country","Land"
"world","Welt"
"question","Frage"
"answer","Antwort"
"problem","Problem"
"solution","Lösung"
"number","Nummer / Zahl"
